id,identifier,height,weight,base_experience,type_slot_1_identifier,type_slot_2_identifier,stats_hp,stats_attack,stats_defense,stats_special-attack,stats_special-defense,stats_speed,generation,aura_color,description
42,golbat,16,550,159,poison,flying,75,80,70,65,75,90,1,purple,Golbat bites down on prey with its four fangs and drinks the victim’s blood. It becomes active on inky dark moonless nights， flying around to attack people and Pokémon.
43,oddish,5,54,64,grass,poison,45,50,55,75,65,30,1,blue,Oddish searches for fertile， nutrient-rich soil， then plants itself. During the daytime， while it is planted， this Pokémon’s feet are thought to change shape and become similar to the roots of trees.
44,gloom,8,86,138,grass,poison,60,65,70,85,75,40,1,blue,From its mouth Gloom drips honey that smells absolutely horrible. Apparently， it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.
45,vileplume,12,186,221,grass,poison,75,80,85,110,90,50,1,red,Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized， this Pokémon catches and devours them.
46,paras,3,54,57,bug,grass,35,70,55,45,55,25,1,red,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.
47,parasect,10,295,142,bug,grass,60,95,80,60,80,30,1,red,Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies， they move onto another tree all at once.
48,venonat,10,300,61,bug,poison,60,55,50,40,55,45,1,purple,Venonat is said to have evolved with a coat of thin， stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.
49,venomoth,15,125,158,bug,poison,70,65,60,90,75,90,1,purple,Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights， attracted by the light in the darkness.
50,diglett,2,8,53,ground,,10,55,25,35,45,95,1,brown,Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows， the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.
51,dugtrio,7,333,142,ground,,35,80,50,50,70,120,1,brown,Dugtrio are actually triplets that emerged from one body. As a result， each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.
52,meowth,4,42,58,normal,,40,45,35,40,40,90,1,yellow,Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason， this Pokémon loves shiny coins that glitter with light.
53,persian,10,320,154,normal,,65,70,60,65,65,115,1,yellow,Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers.
54,psyduck,8,196,64,water,,50,52,48,65,50,55,1,yellow,If it uses its mysterious power， Psyduck can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep.
55,golduck,17,766,175,water,,80,82,78,95,80,85,1,blue,Golduck is the fastest swimmer among all Pokémon. It swims effortlessly， even in a rough， stormy sea. It sometimes rescues people from wrecked ships floundering in high seas.
56,mankey,5,280,61,fighting,,40,80,35,35,45,70,1,brown,When Mankey starts shaking and its nasal breathing turns rough， it’s a sure sign that it is becoming angry. However， because it goes into a towering rage almost instantly， it is impossible for anyone to flee its wrath.
57,primeape,10,320,159,fighting,,65,105,60,60,70,95,1,brown,When Primeape becomes furious， its blood circulation is boosted. In turn， its muscles are made even stronger. However， it also becomes much less intelligent at the same time.
58,growlithe,7,190,70,fire,,55,70,45,70,50,60,1,brown,Growlithe has a superb sense of smell. Once it smells anything， this Pokémon won’t forget the scent， no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.
59,arcanine,19,1550,194,fire,,90,110,80,100,80,95,1,brown,Arcanine is known for its high speed. It is said to be capable of running over 6，200 miles in a single day and night. The fire that blazes wildly within this Pokémon’s body is its source of power.
60,poliwag,6,124,60,water,,40,50,40,40,40,90,1,blue,Poliwag has a very thin skin. It is possible to see the Pokémon’s spiral innards right through the skin. Despite its thinness， however， the skin is also very flexible. Even sharp fangs bounce right off it.
61,poliwhirl,10,200,135,water,,65,65,65,50,50,90,1,blue,The surface of Poliwhirl’s body is always wet and slick with a slimy fluid. Because of this slippery covering， it can easily slip and slide out of the clutches of any enemy in battle.
62,poliwrath,13,540,230,water,fighting,90,95,95,70,90,70,1,blue,Poliwrath’s highly developed， brawny muscles never grow fatigued， however much it exercises. It is so tirelessly strong， this Pokémon can swim back and forth across the ocean without effort.
63,abra,9,195,62,psychic,,25,20,15,105,55,90,1,brown,Abra needs to sleep for eighteen hours a day. If it doesn’t， this Pokémon loses its ability to use telekinetic powers. If it is attacked， Abra escapes using Teleport while it is still sleeping.
64,kadabra,13,565,140,psychic,,40,35,30,120,70,105,1,brown,Kadabra holds a silver spoon in its hand. The spoon is used to amplify the alpha waves in its brain. Without the spoon， the Pokémon is said to be limited to half the usual amount of its telekinetic powers.
65,alakazam,15,480,225,psychic,,55,50,45,135,95,120,1,brown,Alakazam’s brain continually grows， infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5，000. It has a thorough memory of everything that has occurred in the world.
66,machop,8,195,61,fighting,,70,80,50,35,35,35,1,gray,Machop exercises by hefting around a Graveler as if it were a barbell. There are some Machop that travel the world in a quest to master all kinds of martial arts.
67,machoke,15,705,142,fighting,,80,100,70,50,60,45,1,gray,Machoke undertakes bodybuilding every day even as it helps people with tough， physically demanding labor. On its days off， this Pokémon heads to the fields and mountains to exercise and train.
68,machamp,16,1300,227,fighting,,90,130,80,65,85,55,1,gray,Machamp is known as the Pokémon that has mastered every kind of martial arts. If it grabs hold of the foe with its four arms， the battle is all but over. The hapless foe is thrown far over the horizon.
69,bellsprout,7,40,60,grass,poison,50,75,35,70,30,40,1,green,Bellsprout’s thin and flexible body lets it bend and sway to avoid any attack， however strong it may be. From its mouth， this Pokémon spits a corrosive fluid that melts even iron.
70,weepinbell,10,64,137,grass,poison,65,90,50,85,45,55,1,green,Weepinbell has a large hook on its rear end. At night， the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep， it may wake up to find itself on the ground.
71,victreebel,17,155,221,grass,poison,80,105,65,100,70,70,1,green,Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near， this Pokémon swallows it whole.
72,tentacool,9,455,67,water,poison,40,40,35,50,100,70,1,blue,Tentacool absorbs sunlight and refracts it using water inside its body to convert it into beam energy. This Pokémon shoots beams from the small round organ above its eyes.
73,tentacruel,16,550,180,water,poison,80,70,65,80,120,100,1,blue,Tentacruel has tentacles that can be freely elongated and shortened at will. It ensnares prey with its tentacles and weakens the prey by dosing it with a harsh toxin. It can catch up to 80 prey at the same time.
74,geodude,4,200,60,rock,ground,40,80,100,30,30,20,1,brown,When Geodude sleeps deeply， it buries itself halfway into the ground. It will not awaken even if hikers step on it unwittingly. In the morning， this Pokémon rolls downhill in search of food.
75,graveler,10,1050,137,rock,ground,55,95,115,45,45,35,1,brown,Rocks are Graveler’s favorite food. This Pokémon will climb a mountain from the base to the summit， crunchingly feasting on rocks all the while. Upon reaching the peak， it rolls back down to the bottom.
76,golem,14,3000,223,rock,ground,80,120,130,55,65,45,1,brown,Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill， grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokémon’s course.
77,ponyta,10,300,82,fire,,50,85,55,65,65,90,1,yellow,Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.
78,rapidash,17,950,175,fire,,65,100,70,80,80,105,1,yellow,Rapidash usually can be seen casually cantering in the fields and plains. However， when this Pokémon turns serious， its fiery manes flare and blaze as it gallops its way up to 150 mph.
79,slowpoke,12,360,63,water,psychic,90,65,65,40,40,15,1,pink,Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However， this Pokémon often forgets what it’s doing and often spends entire days just loafing at water’s edge.
80,slowbro,16,785,172,water,psychic,95,75,110,100,80,30,1,pink,Slowbro’s tail has a Shellder firmly attached with a bite. As a result， the tail can’t be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.
81,magnemite,3,60,65,electric,steel,25,35,70,95,55,45,1,gray,Magnemite floats in the air by emitting electromagnetic waves from the units at its sides. These waves block gravity. This Pokémon becomes incapable of flight if its internal electrical supply is depleted.
82,magneton,10,600,163,electric,steel,50,60,95,120,70,70,1,gray,Magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. Because of this， it is said that some towns warn people to keep this Pokémon inside a Poké Ball.
83,farfetchd,8,150,123,normal,flying,52,65,55,58,62,60,1,brown,Farfetch’d is always seen with a stalk from a plant of some sort. Apparently， there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks.
84,doduo,14,392,62,normal,flying,35,85,45,35,35,75,1,brown,Doduo’s two heads contain completely identical brains. A scientific study reported that on rare occasions， there will be examples of this Pokémon possessing different sets of brains.
85,dodrio,18,852,161,normal,flying,60,110,70,60,60,100,1,brown,Apparently， the heads aren’t the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well， so it is capable of running long distances without rest.
86,seel,11,900,65,water,,65,45,55,45,70,45,1,blue,Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe， it punches a hole through the ice with the sharply protruding section of its head.
87,dewgong,17,1200,166,water,ice,90,70,80,70,95,70,1,blue,Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.
88,grimer,9,300,65,poison,,80,80,50,40,50,25,1,purple,Grimer emerged from the sludge that settled on a polluted seabed. This Pokémon loves anything filthy. It constantly leaks a horribly germ-infested fluid from all over its body.
89,muk,12,300,175,poison,,105,105,75,65,100,50,1,purple,This Pokémon’s favorite food is anything that is repugnantly filthy. In dirty towns where people think nothing of throwing away litter on the streets， Muk are certain to gather.
90,shellder,3,40,61,water,,30,65,100,45,25,40,1,purple,At night， this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping， Shellder closes its shell， but leaves its tongue hanging out.
91,cloyster,15,1325,184,water,ice,50,95,180,85,45,70,1,purple,Cloyster is capable of swimming in the sea. It does so by swallowing water， then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system.
92,gastly,13,1,62,ghost,poison,30,35,30,100,35,80,1,purple,Gastly is largely composed of gaseous matter. When exposed to a strong wind， the gaseous body quickly dwindles away. Groups of this Pokémon cluster under the eaves of houses to escape the ravages of wind.
93,haunter,16,1,142,ghost,poison,45,50,45,115,55,95,1,purple,Haunter is a dangerous Pokémon. If one beckons you while floating in darkness， you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away.
94,gengar,15,405,225,ghost,poison,60,65,60,130,75,110,1,purple,Sometimes， on a dark night， your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you， pretending to be your shadow.
95,onix,88,2100,77,rock,ground,35,45,160,30,45,70,1,gray,Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older， its body becomes increasingly rounder and smoother.
96,drowzee,10,324,66,psychic,,60,48,45,43,90,42,1,yellow,If your nose becomes itchy while you are sleeping， it’s a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils.
97,hypno,16,756,169,psychic,,85,73,70,73,115,67,1,yellow,Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey， it polishes the pendulum.
98,krabby,4,65,65,water,,30,105,90,25,25,50,1,red,Krabby live on beaches， burrowed inside holes dug into the sand. On sandy beaches with little in the way of food， these Pokémon can be seen squabbling with each other over territory.
99,kingler,13,600,166,water,,55,130,115,50,50,75,1,red,Kingler has an enormous， oversized claw. It waves this huge claw in the air to communicate with others. However， because the claw is so heavy， the Pokémon quickly tires.
100,voltorb,5,104,66,electric,,40,30,50,55,55,100,1,red,Voltorb is extremely sensitive—it explodes at the slightest of shocks. It is rumored that it was first created when a Poké Ball was exposed to a powerful pulse of energy.
101,electrode,12,666,168,electric,,60,50,70,80,80,140,1,red,One of Electrode’s characteristics is its attraction to electricity. It is a problematical Pokémon that congregates mostly at electrical power plants to feed on electricity that has just been generated.
102,exeggcute,4,25,65,grass,psychic,60,40,80,60,45,40,1,pink,This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs， Exeggcute is close to evolution.
103,exeggutor,20,1200,182,grass,psychic,95,95,85,125,65,55,1,yellow,Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off， they group together to form Exeggcute.
104,cubone,4,65,64,ground,,50,50,95,40,50,35,1,brown,Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon， it cries. The stains on the skull the Pokémon wears are made by the tears it sheds.
105,marowak,10,450,149,ground,,60,80,110,50,80,45,1,brown,Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokémon’s tempered and hardened spirit is not easily broken.
106,hitmonlee,15,498,159,fighting,,50,120,53,35,110,87,1,brown,Hitmonlee’s legs freely contract and stretch. Using these springlike legs， it bowls over foes with devastating kicks. After battle， it rubs down its legs and loosens the muscles to overcome fatigue.
107,hitmonchan,14,502,159,fighting,,50,105,79,35,110,76,1,brown,Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity.
108,lickitung,12,655,77,normal,,90,55,75,60,75,30,1,pink,Whenever Lickitung comes across something new， it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things.
109,koffing,6,10,68,poison,,40,65,95,60,45,35,1,purple,Koffing embodies toxic substances. It mixes the toxins with raw garbage to set off a chemical reaction that results in a terribly powerful poison gas. The higher the temperature， the more gas is concocted by this Pokémon.
110,weezing,12,95,172,poison,,65,90,120,85,70,60,1,purple,Weezing alternately shrinks and inflates its twin bodies to mix together toxic gases inside. The more the gases are mixed， the more powerful the toxins become. The Pokémon also becomes more putrid.
111,rhyhorn,10,1150,69,ground,rock,80,85,95,30,30,25,1,gray,Rhyhorn’s brain is very small. It is so dense， while on a run it forgets why it started running in the first place. It apparently remembers sometimes if it demolishes something.
112,rhydon,19,1200,170,ground,rock,105,130,120,45,45,40,1,gray,Rhydon has a horn that serves as a drill. It is used for destroying rocks and boulders. This Pokémon occasionally rams into streams of magma， but the armor-like hide prevents it from feeling the heat.
113,chansey,11,346,395,normal,,250,5,5,35,105,50,1,pink,Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious， they are easily and eagerly devoured by even those people who have lost their appetite.
114,tangela,10,350,87,grass,,65,55,115,100,40,60,1,blue,Tangela’s vines snap off easily if they are grabbed. This happens without pain， allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day.
115,kangaskhan,22,800,172,normal,,105,95,80,40,80,90,1,brown,If you come across a young Kangaskhan playing by itself， you must never disturb it or attempt to catch it. The baby Pokémon’s parent is sure to be in the area， and it will become violently enraged at you.
116,horsea,4,80,59,water,,30,40,70,70,25,60,1,blue,If Horsea senses danger， it will reflexively spray a dense black ink from its mouth and try to escape. This Pokémon swims by cleverly flapping the fin on its back.
117,seadra,12,250,154,water,,55,65,95,95,45,85,1,blue,Seadra generates whirlpools by spinning its body. The whirlpools are strong enough to swallow even fishing boats. This Pokémon weakens prey with these currents， then swallows it whole.
118,goldeen,6,150,64,water,,45,67,60,35,50,63,1,red,Goldeen loves swimming wild and free in rivers and ponds. If one of these Pokémon is placed in an aquarium， it will shatter even the thickest glass with one ram of its horn and make its escape.
119,seaking,13,390,158,water,,80,92,65,65,80,68,1,red,Seaking is very protective of its eggs. The male and female will take turns patrolling around their nest and eggs. The guarding of eggs by these Pokémon goes on for over a month.
120,staryu,8,345,68,water,,30,45,55,70,55,85,1,brown,Staryu apparently communicates with the stars in the night sky by flashing the red core at the center of its body. If parts of its body are torn， this Pokémon simply regenerates the missing pieces and limbs.
121,starmie,11,800,182,water,psychic,60,75,85,100,85,115,1,purple,Starmie swims through water by spinning its star-shaped body as if it were a propeller on a ship. The core at the center of this Pokémon’s body glows in seven colors.
122,mr. mime,13,545,161,psychic,fairy,40,45,65,100,120,90,1,pink,Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once the watchers are convinced， the unseeable thing exists as if it were real.
123,scyther,15,560,100,bug,flying,70,110,80,55,80,105,1,green,Scyther is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This Pokémon’s scythes are so effective， they can slice through thick logs in one wicked stroke.
124,jynx,14,406,159,ice,psychic,65,50,35,115,95,95,1,red,Jynx walks rhythmically， swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring， people seeing it are compelled to shake their hips without giving any thought to what they are doing.
125,electabuzz,11,300,172,electric,,65,83,57,95,85,105,1,yellow,When a storm arrives， gangs of this Pokémon compete with each other to scale heights that are likely to be stricken by lightning bolts. Some towns use Electabuzz in place of lightning rods.
126,magmar,13,445,173,fire,,65,95,57,100,85,93,1,red,In battle， Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pokémon’s fiery bursts create heat waves that ignite grass and trees in its surroundings.
127,pinsir,15,550,175,bug,,65,125,100,55,70,85,1,brown,Pinsir has a pair of massive horns. Protruding from the surface of these horns are thorns. These thorns are driven deeply into the foe’s body when the pincer closes， making it tough for the foe to escape.
128,tauros,14,884,172,normal,,75,100,95,40,70,110,1,brown,This Pokémon is not satisfied unless it is rampaging at all times. If there is no opponent for Tauros to battle， it will charge at thick trees and knock them down to calm itself.
129,magikarp,9,100,40,water,,20,10,55,15,20,80,1,red,Magikarp is virtually useless in battle as it can only splash around. As a result， it is considered to be weak. However， it is actually a very hardy Pokémon that can survive in any body of water no matter how polluted it is.
130,gyarados,65,2350,189,water,flying,95,125,79,60,100,81,1,blue,Once Gyarados goes on a rampage， its ferociously violent blood doesn’t calm until it has burned everything down. There are records of this Pokémon’s rampages lasting a whole month.
131,lapras,25,2200,187,water,ice,130,85,80,85,95,60,1,blue,People have driven Lapras almost to the point of extinction. In the evenings， this Pokémon is said to sing plaintively as it seeks what few others of its kind still remain.
132,ditto,3,40,101,normal,,48,48,48,48,48,48,1,purple,Ditto rearranges its cell structure to transform itself into other shapes. However， if it tries to transform itself into something by relying on its memory， this Pokémon manages to get details wrong.
133,eevee,3,65,65,normal,,55,55,50,45,65,55,1,brown,Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various stones causes this Pokémon to evolve.
134,vaporeon,10,290,184,water,,130,65,60,110,95,65,1,blue,Vaporeon underwent a spontaneous mutation and grew fins and gills that allow it to live underwater. This Pokémon has the ability to freely control water.
135,jolteon,8,245,184,electric,,65,65,60,110,95,130,1,yellow,Jolteon’s cells generate a low level of electricity. This power is amplified by the static electricity of its fur， enabling the Pokémon to drop thunderbolts. The bristling fur is made of electrically charged needles.
136,flareon,9,250,184,fire,,65,130,60,95,110,65,1,red,Flareon’s fluffy fur has a functional purpose—it releases heat into the air so that its body does not get excessively hot. This Pokémon’s body temperature can rise to a maximum of 1，650 degrees Fahrenheit.
137,porygon,8,365,79,normal,,65,60,70,85,75,40,1,pink,Porygon is capable of reverting itself entirely back to program data and entering cyberspace. This Pokémon is copy protected so it cannot be duplicated by copying.
138,omanyte,4,75,71,rock,water,35,40,100,90,55,35,1,blue,Omanyte is one of the ancient and long-since-extinct Pokémon that have been regenerated from fossils by people. If attacked by an enemy， it withdraws itself inside its hard shell.
